Date,Home Team,Away Team
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
02.09.2018,Tractor Chelyabinsk,CSKA Moscow
02.09.2018,Lokomotiv Yaroslavl,Avangard Omsk
02.09.2018,Cherepovets,Sibir Novosibirsk
02.09.2018,Dyn. Moscow,Salavat Ufa
02.09.2018,Yekaterinburg,Dinamo Riga
03.09.2018,Niznekamsk,Podolsk
03.09.2018,Nizhny Novgorod,SKA St. Petersburg
03.09.2018,Sp. Moscow,Amur Khabarovsk
03.09.2018,Sochi,Vladivostok
03.09.2018,Bars Kazan,Din. Minsk
04.09.2018,Yekaterinburg,CSKA Moscow
04.09.2018,Lokomotiv Yaroslavl,Sibir Novosibirsk
04.09.2018,Cherepovets,Salavat Ufa
04.09.2018,Dyn. Moscow,Avangard Omsk
04.09.2018,Metallurg Magnitogorsk,Dinamo Riga
05.09.2018,Bars Kazan,Podolsk
05.09.2018,Sp. Moscow,Vladivostok
05.09.2018,Niznekamsk,Barys Astana
05.09.2018,Nizhny Novgorod,Din. Minsk
05.09.2018,Sochi,Kunlun
